name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
Left-Lateral-Ventricle	1.0982601019446183	-50.14637575171591	0.021901086279541113	37814.83775925617	37814.82301560523	-106.02667084458689	218.05334168917378	680667.0796666109	0.045463562657415815
Left-Inf-Lat-Vent	1.277040592168954	-32.52309243944747	0.0392656569957666	235843.9076588483	235843.57985272724	-120.67041879699717	247.34083759399434	4245190.33785927	0.09658218372601537
Left-Cerebellum-White-Matter	1.5665319877752413	-31.682775904708137	0.04944427825664262	42366.523992838804	42366.02320116665	-106.9359151184971	219.8718302369942	762597.4318710985	0.0341617037041038
Left-Cerebellum-Cortex	1.3956953863126549	-30.345052337792563	0.045994166389175	123013.87234400549	123013.81272208561	-115.46343533683584	236.9268706736717	2214249.702192099	0.07413828413203169
Left-Thalamus	1.566191804012019	-27.73550073466554	0.0564688490391845	87015.1787673577	87014.23505438701	-112.69370849431762	231.38741698863524	1566273.2178124387	0.05343580057836526
Left-Caudate	1.418713883624879	-40.18984944245933	0.03530030351708787	101843.4525784329	101843.4154513608	-113.95255324387982	233.90510648775964	1833182.1464117921	0.06351739658289864
Left-Putamen	1.7846142690206521	-36.697110679834026	0.048630920417430626	179036.45765000582	179036.15620255875	-118.46577275241451	242.93154550482902	3222656.2377001047	0.06743389905438296
Left-Pallidum	1.65225146066042	-29.89069662255855	0.055276445427955116	259298.94165845678	259297.94985161998	-121.42890782624573	248.85781565249147	4667380.949852222	0.08384500008676955
3rd-Ventricle	1.2270115867213565	-23.08990712555306	0.05314060295043159	315089.9494015795	315088.52664926305	-122.98791946155843	251.97583892311687	5671619.089228432	0.1303370808489425
4th-Ventricle	1.0193885708440875	-37.07126038461118	0.02749808234918419	322883.4610035306	322883.356865724	-123.18339009077859	252.36678018155717	5811902.298063551	0.14906294499977768
Brain-Stem	1.4096284932623822	-31.35319502124519	0.04495964421830713	70191.85593835251	70191.47892283334	-110.97491172822497	227.94982345644993	1263453.4068903455	0.04920531299472503
Left-Hippocampus	1.4597923588874109	-39.31406124739373	0.037131558342479457	134419.7488763724	134419.74092142496	-116.17279757066164	238.3455951413233	2419555.4797747033	0.06720105212329384
Left-Amygdala	1.470463072751094	-35.85553449516287	0.041010769842225285	356865.8976173424	356865.8967512163	-123.98393935497846	253.96787870995692	6423586.1571121635	0.10819731107342037
CSF	1.184384688847028	-35.91567773220519	0.032976815798327626	64934.33113150916	64934.33093979846	-110.35207051157103	226.70414102314206	1168817.960367165	0.06216269234333537
Left-Accumbens-area	1.5282962181695057	-30.31760792774506	0.05040952511200234	207409.49103261883	207409.28297414983	-119.64261821375453	245.28523642750906	3733370.838587139	0.0835031472066514
