index	volume-mm3	name
2	247414.1	Left-Cerebral-White-Matter
4	4297.0	Left-Lateral-Ventricle
5	206.0	Left-Inf-Lat-Vent
7	15747.0	Left-Cerebellum-White-Matter
8	57672.0	Left-Cerebellum-Cortex
10	8747.0	Left-Thalamus
11	4295.0	Left-Caudate
12	5636.0	Left-Putamen
13	2158.0	Left-Pallidum
14	1024.0	3rd-Ventricle
15	2344.0	4th-Ventricle
16	13403.0	Brain-Stem
17	4901.0	Left-Hippocampus
18	1861.0	Left-Amygdala
24	1370.0	CSF
26	681.0	Left-Accumbens-area
28	4741.0	Left-VentralDC
30	29.0	Left-vessel
31	355.0	Left-choroid-plexus
41	248604.1	Right-Cerebral-White-Matter
43	4357.0	Right-Lateral-Ventricle
44	345.0	Right-Inf-Lat-Vent
46	15041.0	Right-Cerebellum-White-Matter
47	60079.0	Right-Cerebellum-Cortex
49	8322.0	Right-Thalamus
50	4459.0	Right-Caudate
51	5833.0	Right-Putamen
52	2330.0	Right-Pallidum
53	4584.0	Right-Hippocampus
54	2001.0	Right-Amygdala
58	777.0	Right-Accumbens-area
60	4748.0	Right-VentralDC
62	42.0	Right-vessel
63	378.0	Right-choroid-plexus
85	239.0	Optic-Chiasm
130	97054.0	AirCavity
165	1321116.0	Skull
172	3438.0	Vermis
174	12691.0	Pons
257	284605.4	CSF-ExtraCerebral
258	2284639.0	Head-ExtraCerebral
1001	2202.5	ctx-lh-bankssts
1002	1816.5	ctx-lh-caudalanteriorcingulate
1003	6782.1	ctx-lh-caudalmiddlefrontal
1005	2637.2	ctx-lh-cuneus
1006	1957.8	ctx-lh-entorhinal
1007	9535.4	ctx-lh-fusiform
1008	11041.2	ctx-lh-inferiorparietal
1009	9889.1	ctx-lh-inferiortemporal
1010	2526.1	ctx-lh-isthmuscingulate
1011	14205.9	ctx-lh-lateraloccipital
1012	6417.2	ctx-lh-lateralorbitofrontal
1013	4657.1	ctx-lh-lingual
1014	4688.8	ctx-lh-medialorbitofrontal
1015	10862.5	ctx-lh-middletemporal
1016	2703.8	ctx-lh-parahippocampal
1017	2806.5	ctx-lh-paracentral
1018	3188.4	ctx-lh-parsopercularis
1019	2013.2	ctx-lh-parsorbitalis
1020	2908.6	ctx-lh-parstriangularis
1021	1620.9	ctx-lh-pericalcarine
1022	9235.8	ctx-lh-postcentral
1023	3288.0	ctx-lh-posteriorcingulate
1024	13695.4	ctx-lh-precentral
1025	6656.1	ctx-lh-precuneus
1026	2455.9	ctx-lh-rostralanteriorcingulate
1027	14233.1	ctx-lh-rostralmiddlefrontal
1028	21088.1	ctx-lh-superiorfrontal
1029	9162.4	ctx-lh-superiorparietal
1030	15449.5	ctx-lh-superiortemporal
1031	10399.1	ctx-lh-supramarginal
1032	844.2	ctx-lh-frontalpole
1033	2529.6	ctx-lh-temporalpole
1034	1167.8	ctx-lh-transversetemporal
1035	7653.8	ctx-lh-insula
2001	2362.9	ctx-rh-bankssts
2002	2155.1	ctx-rh-caudalanteriorcingulate
2003	6142.9	ctx-rh-caudalmiddlefrontal
2005	2282.4	ctx-rh-cuneus
2006	1481.8	ctx-rh-entorhinal
2007	9207.8	ctx-rh-fusiform
2008	14661.1	ctx-rh-inferiorparietal
2009	7594.6	ctx-rh-inferiortemporal
2010	2328.8	ctx-rh-isthmuscingulate
2011	13730.8	ctx-rh-lateraloccipital
2012	6434.1	ctx-rh-lateralorbitofrontal
2013	6319.2	ctx-rh-lingual
2014	5129.8	ctx-rh-medialorbitofrontal
2015	11223.4	ctx-rh-middletemporal
2016	2075.1	ctx-rh-parahippocampal
2017	3405.1	ctx-rh-paracentral
2018	3766.6	ctx-rh-parsopercularis
2019	2565.5	ctx-rh-parsorbitalis
2020	3455.9	ctx-rh-parstriangularis
2021	1584.2	ctx-rh-pericalcarine
2022	8632.9	ctx-rh-postcentral
2023	2991.5	ctx-rh-posteriorcingulate
2024	14392.0	ctx-rh-precentral
2025	7652.8	ctx-rh-precuneus
2026	2249.6	ctx-rh-rostralanteriorcingulate
2027	15420.2	ctx-rh-rostralmiddlefrontal
2028	20022.2	ctx-rh-superiorfrontal
2029	9443.2	ctx-rh-superiorparietal
2030	14446.6	ctx-rh-superiortemporal
2031	8934.6	ctx-rh-supramarginal
2032	1152.8	ctx-rh-frontalpole
2033	2649.2	ctx-rh-temporalpole
2034	1009.2	ctx-rh-transversetemporal
2035	7520.8	ctx-rh-insula
